,Date,Current_Close,Actual_Return,Predicted_Return,Signal,Strategy_Return,Cumulative_Return
0,2022-01-19 00:00:00-05:00,432.337158203125,-0.04066416015332719,-0.08450479358673728,-1,,
1,2022-01-20 00:00:00-05:00,427.5520324707031,-0.034717496935230296,-0.08493347492361548,-1,0.034717496935230296,1.0347174969352304
2,2022-01-21 00:00:00-05:00,419.1589660644531,0.009064214847891217,-0.0874169701227667,-1,-0.009064214847891217,1.0253385952361374
3,2022-01-24 00:00:00-05:00,420.93896484375,0.02289476477322938,-0.09076643830097782,-1,-0.02289476477322938,1.0018637092852924
4,2022-01-25 00:00:00-05:00,415.7996520996094,0.04253477249009041,-0.09585136213981083,-1,-0.04253477249009041,0.9592496643447644
5,2022-01-26 00:00:00-05:00,414.75653076171875,0.05530963651579879,-0.09937122950642224,-1,-0.05530963651579879,0.9061939140819535
6,2022-01-27 00:00:00-05:00,412.70849609375,0.03561824220002441,-0.1042241782572307,-1,-0.03561824220002441,0.8739168797699943
7,2022-01-28 00:00:00-05:00,422.95831298828125,0.015273280460807559,-0.10841683698988071,-1,-0.015273280460807559,0.8605693021658334
8,2022-01-31 00:00:00-05:00,430.5762634277344,-0.005890018819738163,-0.11212571752853606,-1,0.005890018819738163,0.865638071551279
9,2022-02-01 00:00:00-05:00,433.485595703125,-0.004437551145922147,-0.11415624026650077,-1,0.004437551145922147,0.8694793847676452
10,2022-02-02 00:00:00-05:00,437.6965637207031,0.0004152710127933723,-0.11318753647669622,-1,-0.0004152710127933723,0.8691183151829298
11,2022-02-03 00:00:00-05:00,427.408447265625,0.006090542736617133,-0.111549784773155,-1,-0.006090542736617133,0.8638249129411315
12,2022-02-04 00:00:00-05:00,429.41827392578125,-0.018364276253203582,-0.1080404751905154,-1,0.018364276253203582,0.8796884322767818
13,2022-02-07 00:00:00-05:00,428.0401611328125,-0.018423544241345735,-0.10666043766322411,-1,0.018423544241345735,0.8958954110274331
14,2022-02-08 00:00:00-05:00,431.5619812011719,-0.010733078276493058,-0.1043288700770187,-1,0.010733078276493058,0.9055111266015413
15,2022-02-09 00:00:00-05:00,437.8783264160156,-0.02391047585315631,-0.10279156333360348,-1,0.02391047585315631,0.9271623285289118
